"id","Address","Response_Address","Response_X","Response_Y"
"30001","臺北市中正區博愛路3號",,,
"30002","臺北市中正區博愛路63號",,,
"30003","臺北市中正區復興南路一段34號",,,
"30004","臺北市中正區詔安街147號",,,
"30005","臺北市中正區詔安街32巷14號",,,
"30006","臺北市中正區詔安街40之7號",,,
"30007","臺北市中正區詔安街54號",,,
"30008","臺北市中正區詔安街68號",,,
"30009","臺北市中正區開封街11號",,,
"30010","臺北市中正區開封街一段61號",,,
"30011","臺北市中正區開封街一段78巷8號",,,
"30012","臺北市中正區廈門街103號",,,
"30013","臺北市中正區廈門街131巷4-1號",,,
"30014","臺北市中正區廈門街131巷4之1號",,,
"30015","臺北市中正區廈門街131巷6之1號",,,
"30016","臺北市中正區廈門街74巷4號",,,
"30017","臺北市中正區愛國東路110巷30號",,,
"30018","臺北市中正區新生南路一段126之8號",,,
"30019","臺北市中正區新生南路一段50-2號",,,
"30020","臺北市中正區寧波西街149號",,,
"30021","臺北市中正區寧波西街159號",,,
"30022","臺北市中正區寧波西街170號",,,
"30023","臺北市中正區寧波西街76之1號",,,
"30024","臺北市中正區寧波西街87之2號",,,
"30025","臺北市中正區寧波西路1號",,,
"30026","臺北市中正區寧波東街24巷2號",,,
"30027","臺北市中正區漢口街一段80巷6弄7號",,,
"30028","臺北市中正區漢口街二段20巷11號",,,
"30029","臺北市中正區福州街1號",,,
"30030","臺北市中正區福州街50號",,,
"30031","臺北市中正區福州街55號",,,
"30032","臺北市中正區福州街56號",,,
"30033","臺北市中正區銅山街37號",,,
"30034","臺北市中正區齊東街60號",,,
"30035","臺北市中正區衡陽街36號",,,
"30036","臺北市中正區衡陽路50號",,,
"30037","臺北市中正區濟南路二段18之2號",,,
"30038","臺北市中正區濟南路二段29之1號",,,
"30039","臺北市中正區濟南路二段31之21號",,,
"30040","臺北市中正區濟南路二段31之37號",,,
"30041","臺北市中正區濟南路二段60之2號",,,
"30042","臺北市中正區濟南路二段62巷2-6號",,,
"30043","臺北市中正區環河北路一段69號",,,
"30044","臺北市中正區臨沂街14巷6號",,,
"30045","臺北市中正區臨沂街19巷2-1號",,,
"30046","臺北市中正區臨沂街1號",,,
"30047","臺北市中正區臨沂街25巷11號",,,
"30048","臺北市中正區臨沂街27巷4號",,,
"30049","臺北市中正區臨沂街29巷16號",,,
"30050","臺北市中正區臨沂街45巷19號",,,
"30051","臺北市中正區臨沂街57巷24號",,,
"30052","臺北市中正區臨沂街57巷28號",,,
"30053","臺北市中正區臨沂街61巷28號",,,
"30054","臺北市中正區臨沂街69巷10號",,,
"30055","臺北市中正區臨沂街69巷17弄2號",,,
"30056","臺北市中正區臨沂街8巷7號",,,
"30057","臺北市中正區襄陽路23號",,,
"30058","臺北市中正區懷寧街36號",,,
"30059","臺北市中正區懷寧街92號",,,
"30060","臺北市中正區羅斯福路一段11號",,,
"30061","臺北市中正區羅斯福路一段12號",,,
"30062","臺北市中正區羅斯福路一段24之1號",,,
"30063","臺北市中正區羅斯福路一段38號",,,
"30064","臺北市中正區羅斯福路一段90巷2號",,,
"30065","臺北市中正區羅斯福路二段11號",,,
"30066","臺北市中正區羅斯福路二段12號",,,
"30067","臺北市中正區羅斯福路二段176號",,,
"30068","臺北市中正區羅斯福路二段4巷6號",,,
"30069","臺北市中正區羅斯福路二段5號",,,
"30070","臺北市中正區羅斯福路二段7之6號",,,
"30071","臺北市中正區羅斯福路三段222號",,,
"30072","臺北市中正區羅斯福路三段244巷9弄1號",,,
"30073","臺北市中正區羅斯福路三段246號",,,
"30074","臺北市中正區羅斯福路三段284巷1號",,,
"30075","臺北市中正區羅斯福路三段28號",,,
"30076","臺北市中正區羅斯福路三段50號",,,
"30077","臺北市中正區羅斯福路四段34號",,,
