"Response_Address","Response_X","Response_Y","city","dist","village","neighbour","road","lane","alley","number"
"臺北市大安區通化里23鄰光復南路650號","306236.178",2769375.071,"臺北市","大安區","通化里","23鄰","光復南路",NA,NA,"650號"
"臺北市松山區復建里7鄰光復南路32巷10號","306218.068",2771048.317,"臺北市","松山區","復建里","7鄰","光復南路","32巷",NA,"10號"
"臺北市萬華區新起里18鄰漢中街147巷14號","301197.096",2770442.696,"臺北市","萬華區","新起里","18鄰","漢中街","147巷",NA,"14號"
"臺北市中山區興亞里23鄰吉林路24號","303471.752",2771567.795,"臺北市","中山區","興亞里","23鄰","吉林路",NA,NA,"24號"
"臺北市中山區復華里1鄰長春路410號","304861.91",2771921.477,"臺北市","中山區","復華里","1鄰","長春路",NA,NA,"410號"
"臺北市內湖區金瑞里19鄰內湖路三段308號","308947.416",2775794.074,"臺北市","內湖區","金瑞里","19鄰","內湖路三段",NA,NA,"308號"
"臺北市大同區玉泉里4鄰長安西路287號","301404.984",2771645.834,"臺北市","大同區","玉泉里","4鄰","長安西路",NA,NA,"287號"
"臺北市中山區興亞里6鄰松江路42號","303754",2771170.826,"臺北市","中山區","興亞里","6鄰","松江路",NA,NA,"42號"
"臺北市文山區萬盛里6鄰羅斯福路五段85號","304423.982",2766550.712,"臺北市","文山區","萬盛里","6鄰","羅斯福路五段",NA,NA,"85號"
"臺北市中正區龍福里18鄰南昌路一段86號","302211.175",2769295.332,"臺北市","中正區","龍福里","18鄰","南昌路一段",NA,NA,"86號"
"臺北市中山區民安里4鄰長安西路24號","302544.243",2771410.121,"臺北市","中山區","民安里","4鄰","長安西路",NA,NA,"24號"
"臺北市中山區興亞里15鄰松江路82號","303756.826",2771423.321,"臺北市","中山區","興亞里","15鄰","松江路",NA,NA,"82號"
"臺北市中正區廈安里3鄰和平西路二段152之1號","301010.229",2769514.845,"臺北市","中正區","廈安里","3鄰","和平西路二段",NA,NA,"152之1號"
"臺北市中山區中山里26鄰長春路65號","303111.776",2771975.391,"臺北市","中山區","中山里","26鄰","長春路",NA,NA,"65號"
"臺北市內湖區港華里10鄰港華街85巷17號","307965.025",2775213.911,"臺北市","內湖區","港華里","10鄰","港華街","85巷",NA,"17號"
"臺北市內湖區西湖里13鄰洲子街151號","307341.208",2774894.29,"臺北市","內湖區","西湖里","13鄰","洲子街",NA,NA,"151號"
"臺北市萬華區西門里14鄰成都路66號","300987.083",2770616.78,"臺北市","萬華區","西門里","14鄰","成都路",NA,NA,"66號"
"臺北市信義區雅祥里19鄰松隆路159巷39號","307779.927",2771286.565,"臺北市","信義區","雅祥里","19鄰","松隆路","159巷",NA,"39號"
"臺北市松山區吉祥里17鄰南京東路五段54號","306523.077",2771575.708,"臺北市","松山區","吉祥里","17鄰","南京東路五段",NA,NA,"54號"
"臺北市大安區龍圖里1鄰信義路三段106號","304322.325",2769571.763,"臺北市","大安區","龍圖里","1鄰","信義路三段",NA,NA,"106號"
"臺北市中山區行孝里10鄰建國北路三段93巷5弄9號","304134.398",2773235.263,"臺北市","中山區","行孝里","10鄰","建國北路三段","93巷","5弄","9號"
"臺北市士林區葫東里11鄰重慶北路四段253號","301510.762",2775404.845,"臺北市","士林區","葫東里","11鄰","重慶北路四段",NA,NA,"253號"
"臺北市士林區芝山里26鄰芝玉路二段58號","303959.931",2778289.08,"臺北市","士林區","芝山里","26鄰","芝玉路二段",NA,NA,"58號"
"臺北市中正區文北里25鄰臨沂街32巷1之5號","303439.96",2770286.336,"臺北市","中正區","文北里","25鄰","臨沂街","32巷",NA,"1之5號"
"臺北市大安區建安里2鄰市民大道四段102號","305506.604",2770808.818,"臺北市大安區建安里2鄰市","大安區","建安里","2鄰","市民大道四段",NA,NA,"102號"
"臺北市大安區仁愛里10鄰仁愛路四段29號","305046.272",2770121.381,"臺北市","大安區","仁愛里","10鄰","仁愛路四段",NA,NA,"29號"
"臺北市大安區仁慈里16鄰仁愛路四段2號","304901.239",2770060.603,"臺北市","大安區","仁慈里","16鄰","仁愛路四段",NA,NA,"2號"
"臺北市大安區仁愛里11鄰忠孝東路四段112號","305180.833",2770469.812,"臺北市","大安區","仁愛里","11鄰","忠孝東路四段",NA,NA,"112號"
"臺北市內湖區湖元里18鄰行善路398號","308977.501",2772891.215,"臺北市","內湖區","湖元里","18鄰","行善路",NA,NA,"398號"
"臺北市信義區中興里2鄰信義路四段458號","306348.457",2769530.012,"臺北市","信義區","中興里","2鄰","信義路四段",NA,NA,"458號"
"臺北市大安區全安里5鄰和平東路三段131號","305720.552",2768625.944,"臺北市","大安區","全安里","5鄰","和平東路三段",NA,NA,"131號"
"臺北市中山區聚葉里15鄰林森北路479號","303070.409",2772631.644,"臺北市","中山區","聚葉里","15鄰","林森北路",NA,NA,"479號"
"臺北市中正區龍興里17鄰汀州路一段87號","301294.241",2769135.306,"臺北市","中正區","龍興里","17鄰","汀州路一段",NA,NA,"87號"
"臺北市松山區東光里4鄰南京東路五段1號","306244.362",2771627.645,"臺北市","松山區","東光里","4鄰","南京東路五段",NA,NA,"1號"
"臺北市中山區中山里9鄰林森北路356號","303004.458",2772216.976,"臺北市","中山區","中山里","9鄰","林森北路",NA,NA,"356號"
"臺北市中山區朱園里1鄰南京東路二段206號","304065.932",2771624.336,"臺北市","中山區","朱園里","1鄰","南京東路二段",NA,NA,"206號"
"臺北市松山區中正里11鄰敦化北路88號","305343.153",2771577.77,"臺北市","松山區","中正里","11鄰","敦化北路",NA,NA,"88號"
"臺北市萬華區新起里22鄰長沙街二段66號","301008.407",2770359.287,"臺北市","萬華區","新起里","22鄰","長沙街二段",NA,NA,"66號"
"臺北市中正區黎明里11鄰忠孝西路一段66號","301995.555",2770996.623,"臺北市","中正區","黎明里","11鄰","忠孝西路一段",NA,NA,"66號"
"臺北市中山區復華里16鄰建國北路二段9之1號","304213.09",2771765.592,"臺北市","中山區","復華里","16鄰","建國北路二段",NA,NA,"9之1號"
"臺北市中正區文北里11鄰杭州南路一段71巷10號","303119.541",2770256.211,"臺北市","中正區","文北里","11鄰","杭州南路一段","71巷",NA,"10號"
"臺北市中正區愛國里13鄰中華路二段75巷1弄7號","301097.817",2769667.219,"臺北市","中正區","愛國里","13鄰","中華路二段","75巷","1弄","7號"
"臺北市中正區黎明里11鄰館前路65號","301979.045",2770783.044,"臺北市","中正區","黎明里","11鄰","館前路",NA,NA,"65號"
"臺北市內湖區湖元里18鄰新湖一路8號","307956.53",2772373.232,"臺北市","內湖區","湖元里","18鄰","新湖一路",NA,NA,"8號"
"臺北市中正區新營里3鄰愛國東路22號","302251.065",2769670.185,"臺北市","中正區","新營里","3鄰","愛國東路",NA,NA,"22號"
"臺北市中山區圓山里9鄰德惠街9號","302928.973",2773279.004,"臺北市","中山區","圓山里","9鄰","德惠街",NA,NA,"9號"
"臺北市南港區聯成里16鄰忠孝東路六段278巷22弄4號","309479.138",2771255.1,"臺北市","南港區","聯成里","16鄰","忠孝東路六段","278巷","22弄","4號"
"臺北市中山區新喜里11鄰吉林路407巷9號","303574.665",2773211.454,"臺北市","中山區","新喜里","11鄰","吉林路","407巷",NA,"9號"
"臺北市松山區松基里15鄰長春路451號","305282.748",2771934.294,"臺北市","松山區","松基里","15鄰","長春路",NA,NA,"451號"
"臺北市內湖區湖元里18鄰新湖三路168號","308364.215",2773065.884,"臺北市","內湖區","湖元里","18鄰","新湖三路",NA,NA,"168號"
"臺北市松山區慈祐里2鄰八德路四段797號","308384.571",2771587.503,"臺北市","松山區","慈祐里","2鄰","八德路四段",NA,NA,"797號"
"臺北市萬華區雙園里7鄰莒光路310號","300258.173",2769332.882,"臺北市","萬華區","雙園里","7鄰","莒光路",NA,NA,"310號"
"臺北市信義區安康里8鄰松仁路89號","307392.924",2770021.133,"臺北市","信義區","安康里","8鄰","松仁路",NA,NA,"89號"
"臺北市大同區蓬萊里20鄰重慶北路三段25巷3之3號","301890.558",2773050.025,"臺北市","大同區","蓬萊里","20鄰","重慶北路三段","25巷",NA,"3之3號"
"臺北市中山區新庄里1鄰吉林路404號","303496.772",2773134.346,"臺北市","中山區","新庄里","1鄰","吉林路",NA,NA,"404號"
"臺北市大安區義安里16鄰敦化南路二段81巷25號","305485.143",2769217.009,"臺北市","大安區","義安里","16鄰","敦化南路二段","81巷",NA,"25號"
"臺北市北投區裕民里20鄰裕民六路114巷33號","302302.281",2778554.398,"臺北市","北投區","裕民里","20鄰","裕民六路","114巷",NA,"33號"
"臺北市北投區智仁里18鄰中和街505號","299865.981",2781952.861,"臺北市","北投區","智仁里","18鄰","中和街",NA,NA,"505號"
"臺北市中山區聚盛里1鄰中山北路二段113號","302792.383",2772600.382,"臺北市","中山區","聚盛里","1鄰","中山北路二段",NA,NA,"113號"
"臺北市大安區建倫里20鄰忠孝東路四段146巷3號","305471.384",2770433.693,"臺北市","大安區","建倫里","20鄰","忠孝東路四段","146巷",NA,"3號"
"臺北市中正區新營里7鄰愛國東路92號","302487.305",2769560.691,"臺北市","中正區","新營里","7鄰","愛國東路",NA,NA,"92號"
"臺北市大同區雙連里7鄰承德路二段175巷3號","302335.819",2772407.657,"臺北市","大同區","雙連里","7鄰","承德路二段","175巷",NA,"3號"
"臺北市大安區臥龍里6鄰復興南路二段381號","304855.688",2768346.674,"臺北市","大安區","臥龍里","6鄰","復興南路二段",NA,NA,"381號"
"臺北市大同區建功里21鄰長安西路300號","301707.954",2771617.074,"臺北市","大同區","建功里","21鄰","長安西路",NA,NA,"300號"
"臺北市大同區建泰里18鄰太原路97巷19號","302114.08",2771649.647,"臺北市","大同區","建泰里","18鄰","太原路","97巷",NA,"19號"
"臺北市中山區松江里11鄰民生東路二段161號","304105.183",2772321.779,"臺北市","中山區","松江里","11鄰","民生東路二段",NA,NA,"161號"
"臺北市中山區松江里11鄰民生東路二段163號","304117.528",2772321.635,"臺北市","中山區","松江里","11鄰","民生東路二段",NA,NA,"163號"
